model_size,auroc_full,n
70M,0.8239641758335592,100000
160M,0.827061442227828,100000
410M,0.8232495321560455,100000
1B,0.8189524664377699,100000
1.4B,0.8215425889490129,100000
2.8B,0.8187861692730279,100000
6.9B,0.8115973312789349,100000
12B,0.8061857815034554,100000
